run_id,protocol,seed,repeat,n_nodes,n_groups,group_size,byzantine_fraction,packet_drop,chain_length,f_per_group,Q_min,Q_max,Q_safe,blocks_finalized,total_messages,tps,avg_quorum_size,safety_violations,byzantine_success_count
SplitBFT_20260708_10n_2g,SplitBFT,20260708,0,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,19.848566,3.0,0,0
SplitBFT_20260709_10n_2g,SplitBFT,20260709,1,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,19.892361,3.0,0,0
SplitBFT_20260710_10n_2g,SplitBFT,20260710,2,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,19.861237,3.0,0,0
SplitBFT_20260711_10n_2g,SplitBFT,20260711,3,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,19.902624,3.0,0,0
SplitBFT_20260712_10n_2g,SplitBFT,20260712,4,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,20.44642,3.0,0,0
SplitBFT_20260713_10n_2g,SplitBFT,20260713,5,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,19.83001,3.0,0,0
SplitBFT_20260714_10n_2g,SplitBFT,20260714,6,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,20.332118,3.0,0,0
SplitBFT_20260715_10n_2g,SplitBFT,20260715,7,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,19.575277,3.0,0,0
SplitBFT_20260716_10n_2g,SplitBFT,20260716,8,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,19.948256,3.0,0,0
SplitBFT_20260717_10n_2g,SplitBFT,20260717,9,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,20.061691,3.0,0,0
SplitBFT_20260718_10n_2g,SplitBFT,20260718,10,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,20.331595,3.0,0,0
SplitBFT_20260719_10n_2g,SplitBFT,20260719,11,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,20.08661,3.0,0,0
SplitBFT_20260720_10n_2g,SplitBFT,20260720,12,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,20.291925,3.0,0,0
SplitBFT_20260721_10n_2g,SplitBFT,20260721,13,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,20.035045,3.0,0,0
SplitBFT_20260722_10n_2g,SplitBFT,20260722,14,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,19.970083,3.0,0,0
SplitBFT_20260723_10n_2g,SplitBFT,20260723,15,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,19.849564,3.0,0,0
SplitBFT_20260724_10n_2g,SplitBFT,20260724,16,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,19.934966,3.0,0,0
SplitBFT_20260725_10n_2g,SplitBFT,20260725,17,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,19.919157,3.0,0,0
SplitBFT_20260726_10n_2g,SplitBFT,20260726,18,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,20.008606,3.0,0,0
SplitBFT_20260727_10n_2g,SplitBFT,20260727,19,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,20.09705,3.0,0,0
SplitBFT_20260728_10n_2g,SplitBFT,20260728,20,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,20.108045,3.0,0,0
SplitBFT_20260729_10n_2g,SplitBFT,20260729,21,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,19.736617,3.0,0,0
SplitBFT_20260730_10n_2g,SplitBFT,20260730,22,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,19.7638,3.0,0,0
SplitBFT_20260731_10n_2g,SplitBFT,20260731,23,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,19.886862,3.0,0,0
SplitBFT_20260732_10n_2g,SplitBFT,20260732,24,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,19.94824,3.0,0,0
SplitBFT_20260733_10n_2g,SplitBFT,20260733,25,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,20.210243,3.0,0,0
SplitBFT_20260734_10n_2g,SplitBFT,20260734,26,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,19.929024,3.0,0,0
SplitBFT_20260735_10n_2g,SplitBFT,20260735,27,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,19.774868,3.0,0,0
SplitBFT_20260736_10n_2g,SplitBFT,20260736,28,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,19.746912,3.0,0,0
SplitBFT_20260737_10n_2g,SplitBFT,20260737,29,10,2,5,0.0,0.0,50,1,3,7,3,50,4650,20.028203,3.0,0,0
SplitBFT_20260708_10n_2g,SplitBFT,20260708,0,10,2,5,0.0,0.05,50,1,3,7,3,41,4647,16.336722,3.0,0,0
SplitBFT_20260709_10n_2g,SplitBFT,20260709,1,10,2,5,0.0,0.05,50,1,3,7,3,39,4643,15.572275,3.0,0,0
SplitBFT_20260710_10n_2g,SplitBFT,20260710,2,10,2,5,0.0,0.05,50,1,3,7,3,42,4646,16.705807,3.0,0,0
SplitBFT_20260711_10n_2g,SplitBFT,20260711,3,10,2,5,0.0,0.05,50,1,3,7,3,41,4643,16.681364,3.0,0,0
SplitBFT_20260712_10n_2g,SplitBFT,20260712,4,10,2,5,0.0,0.05,50,1,3,7,3,36,4643,14.641388,3.0,0,0
SplitBFT_20260713_10n_2g,SplitBFT,20260713,5,10,2,5,0.0,0.05,50,1,3,7,3,42,4646,16.636592,3.0,0,0
SplitBFT_20260714_10n_2g,SplitBFT,20260714,6,10,2,5,0.0,0.05,50,1,3,7,3,44,4649,17.912909,3.0,0,0
SplitBFT_20260715_10n_2g,SplitBFT,20260715,7,10,2,5,0.0,0.05,50,1,3,7,3,37,4643,14.492566,3.0,0,0
SplitBFT_20260716_10n_2g,SplitBFT,20260716,8,10,2,5,0.0,0.05,50,1,3,7,3,40,4643,16.209699,3.0,0,0
SplitBFT_20260717_10n_2g,SplitBFT,20260717,9,10,2,5,0.0,0.05,50,1,3,7,3,39,4642,15.578483,3.0,0,0
SplitBFT_20260718_10n_2g,SplitBFT,20260718,10,10,2,5,0.0,0.05,50,1,3,7,3,44,4647,17.787581,3.0,0,0
SplitBFT_20260719_10n_2g,SplitBFT,20260719,11,10,2,5,0.0,0.05,50,1,3,7,3,41,4644,16.350136,3.0,0,0
SplitBFT_20260720_10n_2g,SplitBFT,20260720,12,10,2,5,0.0,0.05,50,1,3,7,3,38,4645,15.481518,3.0,0,0
SplitBFT_20260721_10n_2g,SplitBFT,20260721,13,10,2,5,0.0,0.05,50,1,3,7,3,41,4643,16.372709,3.0,0,0
SplitBFT_20260722_10n_2g,SplitBFT,20260722,14,10,2,5,0.0,0.05,50,1,3,7,3,42,4646,16.614421,3.0,0,0
SplitBFT_20260723_10n_2g,SplitBFT,20260723,15,10,2,5,0.0,0.05,50,1,3,7,3,41,4641,16.356378,3.0,0,0
SplitBFT_20260724_10n_2g,SplitBFT,20260724,16,10,2,5,0.0,0.05,50,1,3,7,3,40,4645,16.066585,3.0,0,0
SplitBFT_20260725_10n_2g,SplitBFT,20260725,17,10,2,5,0.0,0.05,50,1,3,7,3,40,4641,16.01178,3.0,0,0
SplitBFT_20260726_10n_2g,SplitBFT,20260726,18,10,2,5,0.0,0.05,50,1,3,7,3,39,4644,15.760777,3.0,0,0
SplitBFT_20260727_10n_2g,SplitBFT,20260727,19,10,2,5,0.0,0.05,50,1,3,7,3,42,4647,16.847377,3.0,0,0
SplitBFT_20260728_10n_2g,SplitBFT,20260728,20,10,2,5,0.0,0.05,50,1,3,7,3,39,4643,15.433955,3.0,0,0
SplitBFT_20260729_10n_2g,SplitBFT,20260729,21,10,2,5,0.0,0.05,50,1,3,7,3,40,4644,15.817013,3.0,0,0
SplitBFT_20260730_10n_2g,SplitBFT,20260730,22,10,2,5,0.0,0.05,50,1,3,7,3,42,4645,16.742471,3.0,0,0
SplitBFT_20260731_10n_2g,SplitBFT,20260731,23,10,2,5,0.0,0.05,50,1,3,7,3,40,4640,16.208013,3.0,0,0
SplitBFT_20260732_10n_2g,SplitBFT,20260732,24,10,2,5,0.0,0.05,50,1,3,7,3,43,4647,17.221483,3.0,0,0
SplitBFT_20260733_10n_2g,SplitBFT,20260733,25,10,2,5,0.0,0.05,50,1,3,7,3,40,4645,16.068856,3.0,0,0
SplitBFT_20260734_10n_2g,SplitBFT,20260734,26,10,2,5,0.0,0.05,50,1,3,7,3,39,4644,15.302729,3.0,0,0
SplitBFT_20260735_10n_2g,SplitBFT,20260735,27,10,2,5,0.0,0.05,50,1,3,7,3,40,4633,15.981343,3.0,0,0
SplitBFT_20260736_10n_2g,SplitBFT,20260736,28,10,2,5,0.0,0.05,50,1,3,7,3,43,4647,16.935601,3.0,0,0
SplitBFT_20260737_10n_2g,SplitBFT,20260737,29,10,2,5,0.0,0.05,50,1,3,7,3,40,4643,15.807126,3.0,0,0
SplitBFT_20260708_10n_2g,SplitBFT,20260708,0,10,2,5,0.0,0.1,50,1,3,7,3,32,4628,13.063939,3.0,0,0
SplitBFT_20260709_10n_2g,SplitBFT,20260709,1,10,2,5,0.0,0.1,50,1,3,7,3,31,4623,12.156906,3.0,0,0
SplitBFT_20260710_10n_2g,SplitBFT,20260710,2,10,2,5,0.0,0.1,50,1,3,7,3,30,4636,11.868691,3.0,0,0
SplitBFT_20260711_10n_2g,SplitBFT,20260711,3,10,2,5,0.0,0.1,50,1,3,7,3,29,4626,11.597246,3.0,0,0
SplitBFT_20260712_10n_2g,SplitBFT,20260712,4,10,2,5,0.0,0.1,50,1,3,7,3,33,4636,13.27389,3.0,0,0
SplitBFT_20260713_10n_2g,SplitBFT,20260713,5,10,2,5,0.0,0.1,50,1,3,7,3,37,4637,14.621618,3.0,0,0
SplitBFT_20260714_10n_2g,SplitBFT,20260714,6,10,2,5,0.0,0.1,50,1,3,7,3,36,4635,14.468364,3.0,0,0
SplitBFT_20260715_10n_2g,SplitBFT,20260715,7,10,2,5,0.0,0.1,50,1,3,7,3,29,4631,11.329618,3.0,0,0
SplitBFT_20260716_10n_2g,SplitBFT,20260716,8,10,2,5,0.0,0.1,50,1,3,7,3,37,4630,14.925695,3.0,0,0
