SplitBFT_mode,NumOfFogNodes,NumOfMiners,ExpectedChainLength,TimeElapsed_sec,BlocksFinalized,Messages,TransactionsProcessed,TPS
0,5,3,10,40.512,5,5,25,0.51
1,5,3,10,31.037,5,5,25,0.64
0,10,3,10,130.125,10,10,50,0.35
1,10,3,10,147.998,10,10,50,0.31
0,20,3,10,520.585,20,20,100,0.19
1,20,3,10,519.332,20,20,99,0.18
0,30,3,10,690.432,30,30,149,0.15
1,30,3,10,688.654,30,30,150,0.17
0,40,3,10,850.219,40,40,200,0.12
1,40,3,10,842.221,40,40,202,0.14
0,50,3,10,1025.331,50,50,250,0.1
1,50,3,10,1010.876,50,50,250,0.11
0,10,10,10,139.569,10,10,50,0.32
0,10,10,10,1.214,0,0,0,0
0,10,10,10,120.698,10,10,223,1.69
0,10,3,10,138.667,10,10,50,0.33
1,10,3,10,129.241,10,10,50,0.35
1,10,3,10,137.904,10,10,50,0.32
1,10,7,10,120.111,10,10,48,0.33
1,10,25,10,156.253,10,10,50,0.3
1,10,60,10,146.54,10,10,50,0.31
1,10,100,10,147.325,10,10,50,0.31
1,100,100,10,14020.593,100,100,500,0.04
1,5,10,10,40.356,5,5,25,0.53
1,5,10,10,129.756,10,10,50,0.25
1,5,5,10,30.32,5,5,25,0.29
0,5,5,10,30.635,5,5,25,0.59
0,5,10,10,130.209,10,10,49,0.34
0,5,10,5,71.249,5,5,25,0.3
1,5,10,5,70.243,5,5,24,0.29
0,5,10,5,72.054,5,5,25,0.29
1,5,10,5,70.192,5,5,24,0.29
1,5,10,5,64.773,5,5,24,0.3
0,5,10,5,60.844,5,5,24,0.33
1,5,10,5,75.269,5,5,24,0.28
1,5,10,5,68.398,5,5,25,0.31
1,5,10,5,69.407,5,5,25,0.31
1,5,10,5,73.754,5,0,25,0.29
0,5,10,5,69.722,5,5,25,0.3
2,5,10,5,10.008,5,5,24,1.09
2,5,10,5,70.737,5,5,25,0.3
1,5,10,5,69.885,5,0,25,0.27
0,5,10,5,69.319,5,5,25,0.31
1,5,10,5,75.678,5,0,24,0.28
0,5,100,5,686.482,5,5,25,0.03
1,5,100,5,673.926,5,0,25,0.03
2,5,100,5,654.827,5,5,25,0.03
0,5,5,5,34.609,5,5,25,0.41
1,5,5,5,30.907,5,5,25,0.62
0,20,30,5,174067.964,5,5,25,0
1,20,15,5,89.402,5,5,25,0.21
1,20,30,5,213.517,5,5,25,0.1
1,20,15,10,193.518,10,10,50,0.24
1,20,30,10,425.866,10,10,50,0.1
1,20,45,10,596.78,10,10,49,0.07
1,20,60,10,800.002,10,10,50,0.05
0,20,15,10,208.947,10,10,49,0.21
0,20,30,10,424.621,10,10,50,0.11
0,20,45,10,561.288,10,10,50,0.08
0,20,60,10,796.954,10,10,49,0.05
0,20,30,20,851.171,20,20,100,0.11
0,20,30,30,1202.203,30,30,150,0.12
0,20,30,50,2020.272,50,50,249,0.12
0,20,15,10,198.613,10,10,50,0.23
0,20,30,10,433.269,10,10,50,0.11
0,20,45,10,255.817,10,10,50,0.17
0,20,60,10,272.699,10,10,48,0.16
1,20,60,10,277.767,10,10,50,0.16
